id,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
303,2160.0,1.19,59.4,1.55,1.19
4513,15000.0,17.7,413.0,23.0,17.7
3747,15300.0,14.7,422.0,19.1,14.7
664,7800.0,2.6,214.0,3.39,2.6
1177,12400.0,4.61,342.0,6.01,4.61
2676,15000.0,10.5,411.0,13.7,10.5
1947,14200.0,7.62,390.0,9.94,7.63
2501,14800.0,9.79,408.0,12.8,9.8
1473,13200.0,5.77,362.0,7.52,5.77
3483,15300.0,13.6,421.0,17.8,13.6
3520,15300.0,13.8,421.0,18.0,13.8
2132,14400.0,8.34,397.0,10.9,8.35
1026,12300.0,4.02,337.0,5.24,4.02
961,12300.0,3.76,338.0,4.91,3.77
2889,15100.0,11.3,415.0,14.8,11.3
3134,15200.0,12.3,418.0,16.0,12.3
2009,14300.0,7.86,392.0,10.3,7.87
2149,14500.0,8.41,397.0,11.0,8.42
3323,15300.0,13.0,420.0,17.0,13.0
2338,14700.0,9.15,403.0,11.9,9.16
3888,15400.0,15.2,422.0,19.9,15.2
304,2170.0,1.19,59.6,1.55,1.2
1440,13100.0,5.64,360.0,7.35,5.64
1496,13200.0,5.86,364.0,7.64,5.86
2652,14900.0,10.4,411.0,13.5,10.4
2875,15100.0,11.3,415.0,14.7,11.3
916,12200.0,3.59,334.0,4.68,3.59
4182,15300.0,16.4,421.0,21.4,16.4
3721,15300.0,14.6,422.0,19.0,14.6
2772,15000.0,10.9,413.0,14.2,10.9
1624,13600.0,6.36,373.0,8.29,6.36
3837,15400.0,15.0,422.0,19.6,15.0
821,11000.0,3.21,302.0,4.19,3.22
3964,15400.0,15.5,422.0,20.2,15.5
1354,12800.0,5.3,353.0,6.91,5.31
4497,15100.0,17.6,414.0,23.0,17.6
850,11500.0,3.33,317.0,4.34,3.33
1000,12100.0,3.91,333.0,5.1,3.92
3377,15300.0,13.2,420.0,17.2,13.2
18,16.4,0.07,0.45,0.0913,0.0764
1637,13600.0,6.41,373.0,8.36,6.41
1667,13600.0,6.52,375.0,8.51,6.53
493,4640.0,1.93,127.0,2.52,1.94
1347,12800.0,5.27,352.0,6.88,5.28
3727,15300.0,14.6,422.0,19.0,14.6
4825,13500.0,18.9,372.0,24.6,18.9
3614,15300.0,14.1,422.0,18.5,14.2
3481,15300.0,13.6,421.0,17.8,13.6
687,8270.0,2.69,227.0,3.51,2.69
3731,15300.0,14.6,422.0,19.1,14.6
1608,13500.0,6.29,372.0,8.21,6.3
4084,15300.0,16.0,422.0,20.9,16.0
3402,15300.0,13.3,420.0,17.4,13.3
1009,12200.0,3.95,335.0,5.15,3.96
2408,14700.0,9.43,405.0,12.3,9.43
1092,12400.0,4.27,340.0,5.58,4.28
1327,12700.0,5.19,350.0,6.77,5.2
1677,13700.0,6.56,376.0,8.56,6.57
1999,14200.0,7.82,392.0,10.2,7.83
1310,12700.0,5.13,349.0,6.69,5.13
3258,15300.0,12.8,419.0,16.6,12.8
1987,14200.0,7.78,391.0,10.1,7.78
3648,15300.0,14.3,422.0,18.6,14.3
344,2550.0,1.35,70.1,1.76,1.35
4482,15100.0,17.5,415.0,22.9,17.5
986,12300.0,3.86,337.0,5.03,3.87
4544,15000.0,17.8,411.0,23.2,17.8
3807,15400.0,14.9,422.0,19.4,14.9
4523,15000.0,17.7,412.0,23.1,17.7
4002,15400.0,15.7,422.0,20.4,15.7
3091,15200.0,12.1,418.0,15.8,12.1
3961,15400.0,15.5,422.0,20.2,15.5
1142,12400.0,4.47,340.0,5.83,4.48
2358,14700.0,9.23,404.0,12.0,9.24
1198,12400.0,4.69,342.0,6.12,4.7
85,509.0,0.332,14.0,0.433,0.339
1518,13300.0,5.94,366.0,7.75,5.95
516,5020.0,2.02,138.0,2.63,2.03
1381,12900.0,5.41,355.0,7.05,5.41
2716,15000.0,10.6,412.0,13.9,10.6
3084,15200.0,12.1,418.0,15.7,12.1
1014,12200.0,3.97,336.0,5.18,3.97
128,707.0,0.5,19.4,0.652,0.507
1364,12900.0,5.34,353.0,6.96,5.34
3623,15300.0,14.2,422.0,18.5,14.2
4970,10800.0,19.5,296.0,25.4,19.5
891,12100.0,3.49,332.0,4.55,3.49
2793,15000.0,10.9,413.0,14.3,10.9
4238,15300.0,16.6,421.0,21.6,16.6
1359,12800.0,5.32,353.0,6.94,5.33
307,2200.0,1.2,60.4,1.57,1.21
1661,13600.0,6.5,375.0,8.48,6.51
2431,14800.0,9.52,406.0,12.4,9.52
3934,15400.0,15.4,422.0,20.1,15.4
1317,12700.0,5.15,350.0,6.72,5.16
4303,15300.0,16.8,420.0,22.0,16.8
2474,14800.0,9.68,407.0,12.6,9.69
2542,14900.0,9.95,409.0,13.0,9.96
1246,12500.0,4.88,343.0,6.36,4.88
1208,12500.0,4.73,343.0,6.17,4.73
216,1390.0,0.845,38.1,1.1,0.851
4292,15300.0,16.8,420.0,21.9,16.8
3062,15200.0,12.0,417.0,15.6,12.0
1239,12500.0,4.85,344.0,6.33,4.86
2289,14600.0,8.96,402.0,11.7,8.97
2740,15000.0,10.7,412.0,14.0,10.7
275,1900.0,1.08,52.3,1.4,1.08
489,4570.0,1.91,126.0,2.5,1.92
1035,12300.0,4.05,337.0,5.28,4.06
1229,12500.0,4.81,344.0,6.27,4.82
4585,14900.0,17.9,408.0,23.4,18.0
1008,12200.0,3.95,334.0,5.15,3.95
4689,14500.0,18.4,398.0,23.9,18.4
4026,15300.0,15.8,422.0,20.6,15.8
3182,15200.0,12.5,419.0,16.2,12.5
2532,14900.0,9.91,408.0,12.9,9.92
4169,15300.0,16.3,421.0,21.3,16.3
1058,12300.0,4.14,338.0,5.4,4.15
2166,14500.0,8.48,398.0,11.1,8.48
4578,14900.0,17.9,409.0,23.4,17.9
281,1960.0,1.1,53.8,1.43,1.11
3565,15300.0,14.0,421.0,18.2,14.0
1316,12700.0,5.15,349.0,6.72,5.16
4978,10500.0,19.5,287.0,25.4,19.5
968,12300.0,3.79,338.0,4.94,3.79
3126,15200.0,12.2,418.0,16.0,12.2
3920,15400.0,15.3,422.0,20.0,15.3
3166,15200.0,12.4,418.0,16.2,12.4
3519,15300.0,13.8,421.0,18.0,13.8
619,6900.0,2.42,190.0,3.16,2.43
3346,15300.0,13.1,420.0,17.1,13.1
1742,13800.0,6.82,379.0,8.89,6.82
1390,12900.0,5.44,356.0,7.1,5.45
4050,15300.0,15.9,422.0,20.7,15.9
1847,14000.0,7.23,385.0,9.43,7.24
1579,13400.0,6.18,370.0,8.06,6.19
1655,13600.0,6.48,374.0,8.45,6.48
2352,14700.0,9.21,404.0,12.0,9.21
2212,14500.0,8.66,400.0,11.3,8.66
2020,14300.0,7.91,393.0,10.3,7.91
4972,10700.0,19.5,294.0,25.4,19.5
1956,14200.0,7.66,390.0,9.99,7.66
1307,12700.0,5.12,348.0,6.67,5.12
2003,14300.0,7.84,392.0,10.2,7.85
4455,15100.0,17.4,416.0,22.7,17.4
575,6060.0,2.25,167.0,2.94,2.26
4089,15300.0,16.0,422.0,20.9,16.0
4319,15300.0,16.9,420.0,22.1,16.9
4436,15200.0,17.4,417.0,22.6,17.4
1706,13700.0,6.68,377.0,8.71,6.68
3742,15300.0,14.6,422.0,19.1,14.7
3470,15300.0,13.6,421.0,17.7,13.6
1280,12600.0,5.01,346.0,6.53,5.02
861,11700.0,3.37,322.0,4.39,3.38
4145,15300.0,16.2,421.0,21.2,16.2
1801,13900.0,7.05,383.0,9.2,7.06
1628,13600.0,6.37,373.0,8.31,6.38
1993,14200.0,7.8,392.0,10.2,7.81
2639,14900.0,10.3,411.0,13.5,10.3
269,1850.0,1.05,50.8,1.37,1.06
629,7100.0,2.46,195.0,3.21,2.47
3081,15200.0,12.1,418.0,15.7,12.1
2334,14700.0,9.14,403.0,11.9,9.14
2966,15100.0,11.6,416.0,15.1,11.6
300,2130.0,1.17,58.6,1.53,1.18
459,4100.0,1.8,113.0,2.34,1.8
1447,13100.0,5.66,360.0,7.39,5.67
1472,13200.0,5.76,362.0,7.52,5.77
2046,14300.0,8.01,394.0,10.4,8.01
4228,15300.0,16.5,421.0,21.6,16.6
3764,15300.0,14.7,422.0,19.2,14.7
2113,14400.0,8.27,396.0,10.8,8.28
27,23.3,0.105,0.641,0.137,0.112
3839,15400.0,15.0,422.0,19.6,15.0
4522,15000.0,17.7,413.0,23.1,17.7
837,11300.0,3.28,310.0,4.27,3.28
3826,15400.0,15.0,422.0,19.5,15.0
2008,14300.0,7.86,392.0,10.3,7.87
4907,12400.0,19.2,341.0,25.1,19.2
503,4800.0,1.97,132.0,2.57,1.97
3206,15200.0,12.5,419.0,16.4,12.6
4304,15300.0,16.8,420.0,22.0,16.9
380,2920.0,1.49,80.3,1.94,1.49
1851,14000.0,7.24,385.0,9.45,7.25
1525,13300.0,5.97,366.0,7.79,5.97
2365,14700.0,9.26,404.0,12.1,9.26
4147,15300.0,16.2,421.0,21.2,16.2
3052,15200.0,11.9,417.0,15.6,12.0
2884,15100.0,11.3,415.0,14.7,11.3
2340,14700.0,9.16,403.0,11.9,9.16
374,2850.0,1.46,78.4,1.91,1.47
3260,15300.0,12.8,419.0,16.6,12.8
2381,14700.0,9.32,405.0,12.2,9.33
4309,15300.0,16.9,420.0,22.0,16.9
939,12300.0,3.68,337.0,4.79,3.68
4198,15300.0,16.4,421.0,21.4,16.4
4165,15300.0,16.3,421.0,21.3,16.3
2799,15000.0,11.0,414.0,14.3,11.0
2147,14500.0,8.4,397.0,11.0,8.41
3817,15400.0,14.9,422.0,19.5,14.9
4540,15000.0,17.8,411.0,23.2,17.8
4216,15300.0,16.5,421.0,21.5,16.5
2068,14400.0,8.09,395.0,10.6,8.1
529,5240.0,2.07,144.0,2.7,2.08
4604,14800.0,18.0,407.0,23.5,18.0
636,7240.0,2.49,199.0,3.25,2.5
1269,12600.0,4.97,345.0,6.48,4.97
185,1140.0,0.723,31.4,0.943,0.73
4349,15200.0,17.0,419.0,22.2,17.0
3179,15200.0,12.4,419.0,16.2,12.4
3454,15300.0,13.5,421.0,17.6,13.5
1797,13900.0,7.03,382.0,9.17,7.04
2979,15100.0,11.7,416.0,15.2,11.7
1441,13100.0,5.64,360.0,7.36,5.65
3427,15300.0,13.4,421.0,17.5,13.4
4874,12900.0,19.1,356.0,24.9,19.1
1535,13300.0,6.01,367.0,7.84,6.01
3443,15300.0,13.5,421.0,17.6,13.5
1273,12600.0,4.98,346.0,6.5,4.99
2467,14800.0,9.66,407.0,12.6,9.66
607,6670.0,2.38,183.0,3.1,2.38
3513,15300.0,13.8,421.0,17.9,13.8
1712,13700.0,6.7,378.0,8.74,6.71
2199,14500.0,8.61,399.0,11.2,8.61
955,12300.0,3.74,338.0,4.88,3.74
2579,14900.0,10.1,409.0,13.2,10.1
3897,15400.0,15.3,422.0,19.9,15.3
4425,15200.0,17.3,417.0,22.6,17.3
3380,15300.0,13.2,420.0,17.3,13.2
3685,15300.0,14.4,422.0,18.8,14.4
403,3250.0,1.58,89.4,2.06,1.58
2071,14400.0,8.11,395.0,10.6,8.11
4755,14100.0,18.6,388.0,24.3,18.6
1977,14200.0,7.74,391.0,10.1,7.74
158,946.0,0.618,26.0,0.806,0.624
1748,13800.0,6.84,380.0,8.92,6.85
2909,15100.0,11.4,415.0,14.9,11.4
3534,15300.0,13.8,421.0,18.0,13.8
902,12200.0,3.53,334.0,4.6,3.54
352,2630.0,1.38,72.2,1.8,1.38
1230,12500.0,4.81,344.0,6.28,4.82
4670,14600.0,18.3,400.0,23.8,18.3
2140,14400.0,8.38,397.0,10.9,8.38
444,3890.0,1.74,107.0,2.27,1.74
4948,11500.0,19.4,316.0,25.3,19.4
754,9650.0,2.95,265.0,3.85,2.96
1737,13800.0,6.8,379.0,8.87,6.8
2971,15100.0,11.6,416.0,15.2,11.6
4979,10400.0,19.5,286.0,25.4,19.5
2920,15100.0,11.4,415.0,14.9,11.4
311,2230.0,1.22,61.4,1.59,1.22
548,5570.0,2.14,153.0,2.8,2.15
4052,15300.0,15.9,422.0,20.7,15.9
4761,14100.0,18.6,387.0,24.3,18.6
1989,14200.0,7.79,391.0,10.2,7.79
306,2190.0,1.2,60.1,1.56,1.2
2335,14700.0,9.14,403.0,11.9,9.15
694,8410.0,2.72,231.0,3.54,2.72
2356,14700.0,9.22,404.0,12.0,9.23
1927,14100.0,7.54,389.0,9.84,7.55
684,8210.0,2.68,226.0,3.49,2.68
749,9550.0,2.93,263.0,3.82,2.94
4008,15400.0,15.7,422.0,20.5,15.7
1266,12600.0,4.95,345.0,6.46,4.96
3285,15300.0,12.9,420.0,16.8,12.9
3529,15300.0,13.8,421.0,18.0,13.8
4423,15200.0,17.3,417.0,22.6,17.3
3984,15400.0,15.6,422.0,20.3,15.6
3083,15200.0,12.1,418.0,15.7,12.1
3061,15200.0,12.0,417.0,15.6,12.0
3025,15200.0,11.8,417.0,15.4,11.8
970,12300.0,3.8,338.0,4.95,3.8
13,10.0,0.05,0.275,0.0652,0.0568
873,11900.0,3.42,327.0,4.46,3.42
808,10700.0,3.16,295.0,4.12,3.17
3198,15200.0,12.5,419.0,16.3,12.5
514,4990.0,2.01,137.0,2.62,2.02
4472,15100.0,17.5,415.0,22.8,17.5
409,3350.0,1.6,92.1,2.09,1.61
3408,15300.0,13.3,420.0,17.4,13.3
4342,15200.0,17.0,419.0,22.2,17.0
207,1310.0,0.81,36.1,1.06,0.816
3691,15300.0,14.4,422.0,18.8,14.5
458,4080.0,1.79,112.0,2.34,1.8
3471,15300.0,13.6,421.0,17.7,13.6
2430,14800.0,9.51,406.0,12.4,9.52
3657,15300.0,14.3,422.0,18.7,14.3
110,607.0,0.43,16.7,0.561,0.436
4589,14800.0,18.0,408.0,23.4,18.0
4044,15300.0,15.8,422.0,20.6,15.8
1883,14100.0,7.37,387.0,9.61,7.38
1713,13700.0,6.7,378.0,8.75,6.71
3958,15400.0,15.5,422.0,20.2,15.5
3399,15300.0,13.3,420.0,17.4,13.3
552,5640.0,2.16,155.0,2.82,2.17
1439,13100.0,5.63,360.0,7.35,5.64
2270,14600.0,8.89,401.0,11.6,8.89
3144,15200.0,12.3,418.0,16.1,12.3
2821,15100.0,11.0,414.0,14.4,11.0
4781,13900.0,18.7,383.0,24.4,18.7
1925,14100.0,7.53,389.0,9.83,7.54
634,7200.0,2.48,198.0,3.24,2.49
4805,13700.0,18.8,377.0,24.5,18.8
316,2280.0,1.24,62.7,1.61,1.24
4217,15300.0,16.5,421.0,21.5,16.5
4699,14400.0,18.4,396.0,24.0,18.4
1328,12700.0,5.2,350.0,6.78,5.2
427,3650.0,1.67,100.0,2.18,1.68
4374,15200.0,17.1,418.0,22.3,17.1
105,583.0,0.41,16.0,0.535,0.417
3041,15200.0,11.9,417.0,15.5,11.9
142,813.0,0.555,22.4,0.724,0.562
2169,14500.0,8.49,398.0,11.1,8.5
3458,15300.0,13.5,421.0,17.7,13.5
89,517.0,0.348,14.2,0.454,0.354
2918,15100.0,11.4,415.0,14.9,11.4
3237,15200.0,12.7,419.0,16.5,12.7
2241,14600.0,8.77,401.0,11.4,8.78
3174,15200.0,12.4,419.0,16.2,12.4
3412,15300.0,13.4,420.0,17.4,13.4
2163,14500.0,8.47,398.0,11.0,8.47
2636,14900.0,10.3,411.0,13.5,10.3
1949,14200.0,7.63,390.0,9.95,7.63
1768,13900.0,6.92,381.0,9.03,6.93
4290,15300.0,16.8,420.0,21.9,16.8
2272,14600.0,8.89,402.0,11.6,8.9
1,3.33,0.00218,0.0916,0.00285,0.00984
3282,15300.0,12.8,420.0,16.8,12.9
4957,11200.0,19.4,308.0,25.3,19.4
1951,14200.0,7.64,390.0,9.96,7.64
935,12200.0,3.66,337.0,4.77,3.67
4296,15300.0,16.8,420.0,21.9,16.8
2720,15000.0,10.6,412.0,13.9,10.7
4447,15100.0,17.4,416.0,22.7,17.4
1109,12400.0,4.34,340.0,5.66,4.35
3960,15400.0,15.5,422.0,20.2,15.5
591,6360.0,2.31,175.0,3.02,2.32
1695,13700.0,6.63,377.0,8.65,6.64
3450,15300.0,13.5,421.0,17.6,13.5
2936,15100.0,11.5,416.0,15.0,11.5
4204,15300.0,16.5,421.0,21.5,16.5
3411,15300.0,13.4,421.0,17.4,13.4
1576,13400.0,6.17,369.0,8.05,6.17
3954,15400.0,15.5,422.0,20.2,15.5
213,1360.0,0.833,37.5,1.09,0.84
778,10100.0,3.05,279.0,3.97,3.05
1415,13000.0,5.54,358.0,7.22,5.54
3759,15300.0,14.7,422.0,19.2,14.7
2043,14300.0,8.0,394.0,10.4,8.0
2848,15100.0,11.1,414.0,14.5,11.2
4537,15000.0,17.8,412.0,23.2,17.8
3505,15300.0,13.7,421.0,17.9,13.7
3813,15400.0,14.9,422.0,19.5,14.9
1567,13400.0,6.13,369.0,8.0,6.14
165,1000.0,0.645,27.6,0.841,0.652
4714,14300.0,18.5,394.0,24.1,18.5
4272,15300.0,16.7,420.0,21.8,16.7
4926,12000.0,19.3,330.0,25.2,19.3
1343,12800.0,5.26,352.0,6.86,5.26
2013,14300.0,7.88,392.0,10.3,7.89
273,1880.0,1.07,51.8,1.39,1.07
71,305.0,0.277,8.39,0.361,0.284
3887,15400.0,15.2,422.0,19.8,15.2
1087,12400.0,4.25,340.0,5.55,4.26
394,3110.0,1.54,85.6,2.01,1.55
583,6210.0,2.28,171.0,2.98,2.29
1367,12900.0,5.35,354.0,6.98,5.36
4987,10000.0,19.5,276.0,25.5,19.5
4088,15300.0,16.0,422.0,20.9,16.0
2548,14900.0,9.97,409.0,13.0,9.98
1013,12200.0,3.96,335.0,5.17,3.97
4897,12600.0,19.2,346.0,25.0,19.2
3003,15200.0,11.8,417.0,15.3,11.8
4788,13900.0,18.7,381.0,24.4,18.7
4407,15200.0,17.2,418.0,22.5,17.3
3532,15300.0,13.8,421.0,18.0,13.8
1763,13800.0,6.9,381.0,9.0,6.91
1875,14100.0,7.34,386.0,9.57,7.34
1259,12500.0,4.93,344.0,6.43,4.93
4530,15000.0,17.7,412.0,23.1,17.7
2253,14600.0,8.82,401.0,11.5,8.82
2781,15000.0,10.9,413.0,14.2,10.9
3592,15300.0,14.1,421.0,18.3,14.1
526,5190.0,2.06,143.0,2.68,2.06
4263,15300.0,16.7,420.0,21.8,16.7
2946,15100.0,11.5,416.0,15.0,11.5
377,2890.0,1.48,79.3,1.92,1.48
1559,13400.0,6.1,368.0,7.96,6.11
3820,15400.0,15.0,422.0,19.5,15.0
1963,14200.0,7.68,390.0,10.0,7.69
4732,14200.0,18.5,391.0,24.2,18.5
348,2590.0,1.36,71.1,1.78,1.37
2434,14800.0,9.53,406.0,12.4,9.53
2246,14600.0,8.79,401.0,11.5,8.8
4166,15300.0,16.3,421.0,21.3,16.3
1709,13700.0,6.69,378.0,8.73,6.7
1050,12300.0,4.11,338.0,5.36,4.12
590,6340.0,2.31,174.0,3.01,2.32
519,5070.0,2.03,139.0,2.65,2.04
4752,14100.0,18.6,388.0,24.3,18.6
4308,15300.0,16.9,420.0,22.0,16.9
2477,14800.0,9.7,407.0,12.6,9.7
1083,12300.0,4.24,339.0,5.53,4.24
3588,15300.0,14.0,421.0,18.3,14.0
4778,13900.0,18.7,383.0,24.4,18.7
4509,15000.0,17.6,413.0,23.0,17.7
1294,12600.0,5.06,346.0,6.61,5.07
1809,13900.0,7.08,383.0,9.24,7.09
791,10400.0,3.1,286.0,4.04,3.1
792,10400.0,3.1,287.0,4.04,3.11
4114,15300.0,16.1,422.0,21.0,16.1
1855,14000.0,7.26,385.0,9.47,7.27
4757,14100.0,18.6,387.0,24.3,18.6
1980,14200.0,7.75,391.0,10.1,7.76
3233,15200.0,12.7,419.0,16.5,12.7
3908,15400.0,15.3,422.0,20.0,15.3
4984,10200.0,19.5,280.0,25.4,19.5
3328,15300.0,13.0,420.0,17.0,13.0
1530,13300.0,5.99,366.0,7.81,5.99
1410,13000.0,5.52,357.0,7.2,5.52
4294,15300.0,16.8,420.0,21.9,16.8
4648,14600.0,18.2,402.0,23.7,18.2
83,488.0,0.324,13.4,0.423,0.331
868,11800.0,3.4,325.0,4.43,3.4
2350,14700.0,9.2,404.0,12.0,9.2
20,17.5,0.078,0.481,0.102,0.0842
3424,15300.0,13.4,421.0,17.5,13.4
2795,15000.0,10.9,414.0,14.3,10.9
4572,14900.0,17.9,409.0,23.3,17.9
1562,13400.0,6.11,369.0,7.98,6.12
3093,15200.0,12.1,418.0,15.8,12.1
3155,15200.0,12.3,418.0,16.1,12.4
973,12300.0,3.81,338.0,4.97,3.81
1710,13700.0,6.69,378.0,8.73,6.7
3201,15200.0,12.5,419.0,16.3,12.5
4371,15200.0,17.1,418.0,22.3,17.1
4819,13600.0,18.9,374.0,24.6,18.9
1098,12400.0,4.3,340.0,5.61,4.3
4161,15300.0,16.3,421.0,21.2,16.3
2844,15100.0,11.1,414.0,14.5,11.1
886,12000.0,3.47,331.0,4.52,3.47
4931,11900.0,19.3,327.0,25.2,19.3
3678,15300.0,14.4,422.0,18.8,14.4
4580,14900.0,17.9,409.0,23.4,17.9
3566,15300.0,14.0,421.0,18.2,14.0
4401,15200.0,17.2,418.0,22.5,17.2
515,5000.0,2.02,138.0,2.63,2.02
4620,14700.0,18.1,405.0,23.6,18.1
737,9300.0,2.88,256.0,3.76,2.89
1453,13100.0,5.69,361.0,7.42,5.69
3971,15400.0,15.5,422.0,20.3,15.5
4700,14400.0,18.4,396.0,24.0,18.4
2506,14800.0,9.81,408.0,12.8,9.81
2994,15100.0,11.7,416.0,15.3,11.7
2126,14400.0,8.32,397.0,10.9,8.33
2926,15100.0,11.5,415.0,14.9,11.5
4745,14200.0,18.6,389.0,24.2,18.6
906,12200.0,3.55,335.0,4.63,3.55
3647,15300.0,14.3,422.0,18.6,14.3
1030,12300.0,4.03,337.0,5.26,4.04
2507,14800.0,9.81,408.0,12.8,9.82
2428,14800.0,9.5,406.0,12.4,9.51
947,12300.0,3.71,338.0,4.83,3.71
3806,15400.0,14.9,422.0,19.4,14.9
4754,14100.0,18.6,388.0,24.3,18.6
715,8850.0,2.8,243.0,3.65,2.8
4055,15300.0,15.9,422.0,20.7,15.9
686,8250.0,2.69,227.0,3.5,2.69
703,8600.0,2.75,236.0,3.59,2.76
3341,15300.0,13.1,420.0,17.1,13.1
2353,14700.0,9.21,404.0,12.0,9.22
2257,14600.0,8.83,401.0,11.5,8.84
3551,15300.0,13.9,421.0,18.1,13.9
473,4320.0,1.85,119.0,2.41,1.86
21,18.3,0.081,0.504,0.106,0.0881
2752,15000.0,10.8,413.0,14.1,10.8
885,12000.0,3.46,331.0,4.52,3.47
2448,14800.0,9.58,406.0,12.5,9.59
917,12200.0,3.59,334.0,4.68,3.6
3757,15300.0,14.7,422.0,19.2,14.7
3751,15300.0,14.7,422.0,19.2,14.7
2239,14600.0,8.76,400.0,11.4,8.77
3844,15400.0,15.0,422.0,19.6,15.1
3395,15300.0,13.3,420.0,17.3,13.3
1265,12600.0,4.95,345.0,6.46,4.96
483,4480.0,1.89,123.0,2.47,1.9
4337,15300.0,17.0,419.0,22.1,17.0
2963,15100.0,11.6,416.0,15.1,11.6
1219,12500.0,4.77,344.0,6.22,4.78
277,1920.0,1.08,52.8,1.41,1.09
988,12200.0,3.87,337.0,5.04,3.87
2084,14400.0,8.16,395.0,10.6,8.16
1245,12500.0,4.87,343.0,6.36,4.88
2382,14700.0,9.32,405.0,12.2,9.33
571,5990.0,2.23,165.0,2.91,2.24
1435,13100.0,5.62,359.0,7.33,5.62
993,12100.0,3.89,333.0,5.07,3.89
3930,15400.0,15.4,422.0,20.1,15.4
3447,15300.0,13.5,421.0,17.6,13.5
585,6250.0,2.29,172.0,2.99,2.3
3658,15300.0,14.3,422.0,18.7,14.3
2514,14800.0,9.84,408.0,12.8,9.85
1349,12800.0,5.28,352.0,6.89,5.29
1007,12200.0,3.94,334.0,5.14,3.95
674,8000.0,2.64,220.0,3.44,2.64
2412,14700.0,9.44,405.0,12.3,9.45
2903,15100.0,11.4,415.0,14.8,11.4
447,3920.0,1.75,108.0,2.28,1.76
3834,15400.0,15.0,422.0,19.6,15.0
3758,15300.0,14.7,422.0,19.2,14.7
3703,15300.0,14.5,422.0,18.9,14.5
359,2700.0,1.4,74.2,1.83,1.41
2064,14300.0,8.08,394.0,10.5,8.08
4449,15100.0,17.4,416.0,22.7,17.4
3810,15400.0,14.9,422.0,19.5,14.9
1690,13700.0,6.61,376.0,8.63,6.62
4326,15300.0,16.9,419.0,22.1,16.9
1548,13400.0,6.06,368.0,7.9,6.06
1247,12500.0,4.88,343.0,6.37,4.89
1985,14200.0,7.77,391.0,10.1,7.78
294,2080.0,1.15,57.1,1.5,1.16
1547,13400.0,6.05,368.0,7.9,6.06
2012,14300.0,7.87,392.0,10.3,7.88
588,6310.0,2.3,173.0,3.0,2.31
3329,15300.0,13.0,420.0,17.0,13.0
2403,14700.0,9.41,405.0,12.3,9.41
2129,14400.0,8.33,397.0,10.9,8.34
4388,15200.0,17.2,418.0,22.4,17.2
2410,14700.0,9.43,405.0,12.3,9.44
2719,15000.0,10.6,412.0,13.9,10.6
425,3620.0,1.66,99.5,2.17,1.67
2582,14900.0,10.1,409.0,13.2,10.1
1054,12300.0,4.13,338.0,5.38,4.13
3966,15400.0,15.5,422.0,20.2,15.5
4562,14900.0,17.9,410.0,23.3,17.9
556,5720.0,2.18,157.0,2.84,2.18
4358,15200.0,17.1,419.0,22.3,17.1
3938,15400.0,15.4,422.0,20.1,15.4
4712,14400.0,18.4,395.0,24.1,18.4
2469,14800.0,9.66,407.0,12.6,9.67
4710,14400.0,18.4,395.0,24.0,18.4
355,2660.0,1.39,73.0,1.81,1.4
1193,12400.0,4.67,341.0,6.09,4.68
1716,13700.0,6.72,378.0,8.76,6.72
3416,15300.0,13.4,421.0,17.4,13.4
2604,14900.0,10.2,410.0,13.3,10.2
4129,15300.0,16.2,422.0,21.1,16.2
2828,15100.0,11.1,414.0,14.4,11.1
1704,13700.0,6.67,377.0,8.7,6.68
2863,15100.0,11.2,415.0,14.6,11.2
2618,14900.0,10.2,410.0,13.4,10.3
2400,14700.0,9.39,405.0,12.3,9.4
2139,14400.0,8.37,397.0,10.9,8.38
3239,15200.0,12.7,419.0,16.5,12.7
2383,14700.0,9.33,405.0,12.2,9.33
3218,15200.0,12.6,419.0,16.4,12.6
3935,15400.0,15.4,422.0,20.1,15.4
1285,12600.0,5.03,346.0,6.56,5.04
3796,15400.0,14.9,422.0,19.4,14.9
4894,12600.0,19.2,347.0,25.0,19.2
4468,15100.0,17.5,415.0,22.8,17.5
2087,14400.0,8.17,395.0,10.7,8.17
1889,14100.0,7.39,387.0,9.64,7.4
4622,14700.0,18.1,405.0,23.6,18.1
1591,13500.0,6.23,370.0,8.12,6.23
1346,12800.0,5.27,352.0,6.87,5.27
4431,15200.0,17.3,417.0,22.6,17.3
2162,14500.0,8.46,398.0,11.0,8.47
2396,14700.0,9.38,405.0,12.2,9.38
4768,14000.0,18.7,385.0,24.3,18.7
2271,14600.0,8.89,401.0,11.6,8.89
4490,15100.0,17.6,414.0,22.9,17.6
3111,15200.0,12.2,418.0,15.9,12.2
1137,12400.0,4.45,340.0,5.8,4.46
3895,15400.0,15.2,422.0,19.9,15.3
972,12300.0,3.8,338.0,4.96,3.81
795,10500.0,3.11,288.0,4.06,3.12
3020,15200.0,11.8,417.0,15.4,11.8
1711,13700.0,6.7,378.0,8.74,6.7
3387,15300.0,13.3,420.0,17.3,13.3
36,38.3,0.14,1.05,0.183,0.147
453,4010.0,1.77,110.0,2.31,1.78
913,12200.0,3.57,334.0,4.66,3.58
4081,15300.0,16.0,422.0,20.8,16.0
1199,12400.0,4.69,342.0,6.12,4.7
1274,12600.0,4.99,346.0,6.5,4.99
2375,14700.0,9.3,404.0,12.1,9.3
