id,Force (N),Position (mm),Stress (MPa),Strain (%),Time (min)
651,7540.0,2.55,207.0,3.32,2.55
4930,11900.0,19.3,328.0,25.2,19.3
3089,15200.0,12.1,418.0,15.8,12.1
369,2800.0,1.44,77.0,1.88,1.45
4997,-44.2,19.6,-1.21,25.5,19.6
118,645.0,0.461,17.7,0.601,0.468
3320,15300.0,13.0,420.0,17.0,13.0
3034,15200.0,11.9,417.0,15.5,11.9
2216,14500.0,8.67,400.0,11.3,8.68
3542,15300.0,13.9,421.0,18.1,13.9
1613,13500.0,6.31,372.0,8.24,6.32
3151,15200.0,12.3,418.0,16.1,12.3
962,12300.0,3.77,338.0,4.91,3.77
2510,14800.0,9.82,408.0,12.8,9.83
3831,15400.0,15.0,422.0,19.6,15.0
2823,15100.0,11.0,414.0,14.4,11.1
4343,15200.0,17.0,419.0,22.2,17.0
3032,15200.0,11.9,417.0,15.5,11.9
2415,14800.0,9.45,405.0,12.3,9.46
4654,14600.0,18.2,402.0,23.8,18.2
4236,15300.0,16.6,421.0,21.6,16.6
2185,14500.0,8.55,399.0,11.2,8.56
3669,15300.0,14.4,422.0,18.7,14.4
2037,14300.0,7.97,393.0,10.4,7.98
4362,15200.0,17.1,419.0,22.3,17.1
772,10000.0,3.02,275.0,3.94,3.03
1284,12600.0,5.03,346.0,6.56,5.03
4603,14800.0,18.0,407.0,23.5,18.0
4794,13800.0,18.8,380.0,24.5,18.8
1414,13000.0,5.53,358.0,7.22,5.54
1234,12500.0,4.83,344.0,6.3,4.84
2699,15000.0,10.6,412.0,13.8,10.6
435,3790.0,1.7,104.0,2.22,1.71
1674,13700.0,6.55,376.0,8.55,6.56
365,2760.0,1.43,75.8,1.86,1.43
2649,14900.0,10.4,411.0,13.5,10.4
231,1510.0,0.903,41.5,1.18,0.91
4267,15300.0,16.7,420.0,21.8,16.7
4041,15300.0,15.8,422.0,20.6,15.8
4399,15200.0,17.2,418.0,22.5,17.2
407,3320.0,1.59,91.2,2.08,1.6
2090,14400.0,8.18,395.0,10.7,8.19
86,513.0,0.336,14.1,0.438,0.343
844,11400.0,3.3,314.0,4.31,3.31
1031,12300.0,4.04,337.0,5.26,4.04
2855,15100.0,11.2,415.0,14.6,11.2
4109,15300.0,16.1,422.0,21.0,16.1
4396,15200.0,17.2,418.0,22.4,17.2
3893,15400.0,15.2,422.0,19.9,15.2
2658,14900.0,10.4,411.0,13.6,10.4
855,11600.0,3.35,319.0,4.36,3.35
